storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,enforce,0.0,1,1,0,31,lease_22693da5746b4f9b882875915b86a4f0,14212600,9971100,300,1000,24185000
storage-0,enforce,0.0,1,1,0,32,lease_22693da5746b4f9b882875915b86a4f0,12957000,10985300,500,1200,23944000
storage-0,enforce,0.0,1,1,0,33,lease_22693da5746b4f9b882875915b86a4f0,13848400,9965700,400,1300,23815800
storage-0,enforce,0.0,1,1,0,34,lease_22693da5746b4f9b882875915b86a4f0,14449500,10013500,200,1200,24464400
storage-0,enforce,0.0,1,1,0,35,lease_22693da5746b4f9b882875915b86a4f0,13903700,10358400,200,1200,24263500
storage-0,enforce,0.0,1,1,0,36,lease_22693da5746b4f9b882875915b86a4f0,13968700,11002800,300,1400,24973200
storage-0,enforce,0.0,1,1,0,37,lease_22693da5746b4f9b882875915b86a4f0,14095900,10290200,400,1500,24388000
storage-0,enforce,0.0,1,1,0,38,lease_22693da5746b4f9b882875915b86a4f0,14134600,10970200,400,1400,25106600
storage-0,enforce,0.0,1,1,0,39,lease_22693da5746b4f9b882875915b86a4f0,15429300,10431100,200,1100,25861700
storage-0,enforce,0.0,1,1,0,40,lease_22693da5746b4f9b882875915b86a4f0,13902600,28116200,400,1100,42020300
storage-0,enforce,0.0,1,1,0,41,lease_22693da5746b4f9b882875915b86a4f0,17053800,10098400,200,1200,27153600
storage-0,enforce,0.0,1,1,0,42,lease_22693da5746b4f9b882875915b86a4f0,15486000,10977900,200,1100,26465200
storage-0,enforce,0.0,1,1,0,43,lease_22693da5746b4f9b882875915b86a4f0,14246100,9961800,300,1200,24209400
storage-0,enforce,0.0,1,1,0,44,lease_22693da5746b4f9b882875915b86a4f0,14987800,10499000,200,1200,25488200
storage-0,enforce,0.0,1,1,0,45,lease_22693da5746b4f9b882875915b86a4f0,14666800,10719800,300,1200,25388100
storage-0,enforce,0.0,1,1,0,46,lease_22693da5746b4f9b882875915b86a4f0,14443300,11247800,300,1100,25692500
storage-0,enforce,0.0,1,1,0,47,lease_22693da5746b4f9b882875915b86a4f0,14905900,11003300,200,1100,25910500
storage-0,enforce,0.0,1,1,0,48,lease_22693da5746b4f9b882875915b86a4f0,14126800,11551400,400,1200,25679800
storage-0,enforce,0.0,1,1,0,49,lease_22693da5746b4f9b882875915b86a4f0,14967000,10815500,200,1300,25784000
storage-0,off,0.0,1,1,0,0,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,300,800,1100
storage-0,off,0.0,1,1,0,1,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,400,500
storage-0,off,0.0,1,1,0,2,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,200,300
storage-0,off,0.0,1,1,0,3,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,4,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,5,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,6,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,100,200
storage-0,off,0.0,1,1,0,7,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,8,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,9,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,10,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,11,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,12,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,13,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,14,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,15,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,16,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
